,Puntuacion_usuario,Marca
15825,87.0,PlayStation
15902,87.0,PlayStation
15757,87.0,PlayStation
15765,87.0,PlayStation
15766,87.0,PlayStation
15768,87.0,PlayStation
15771,87.0,PlayStation
15775,87.0,PlayStation
15776,87.0,PlayStation
15778,87.0,PlayStation
15788,87.0,PlayStation
15789,87.0,PlayStation
15790,87.0,PlayStation
15791,87.0,PlayStation
15794,87.0,PlayStation
15795,87.0,PlayStation
15797,87.0,PlayStation
15803,87.0,PlayStation
15807,87.0,PlayStation
15811,87.0,PlayStation
15813,87.0,PlayStation
15818,87.0,PlayStation
15819,87.0,PlayStation
15821,87.0,PlayStation
15822,87.0,PlayStation
15823,87.0,PlayStation
15901,87.0,PlayStation
15763,87.0,PlayStation
15904,87.0,PlayStation
16022,87.0,PlayStation
15971,87.0,PlayStation
15985,87.0,PlayStation
15986,87.0,PlayStation
15987,87.0,PlayStation
15991,87.0,PlayStation
15995,87.0,PlayStation
15999,87.0,PlayStation
16001,87.0,PlayStation
16006,87.0,PlayStation
16007,87.0,PlayStation
16013,87.0,PlayStation
16020,87.0,PlayStation
16031,87.0,PlayStation
15968,87.0,PlayStation
16033,87.0,PlayStation
16034,87.0,PlayStation
16035,87.0,PlayStation
16036,87.0,PlayStation
16039,87.0,PlayStation
16040,87.0,PlayStation
16043,87.0,PlayStation
16045,87.0,PlayStation
16047,87.0,PlayStation
15910,87.0,PlayStation
16048,87.0,PlayStation
16051,87.0,PlayStation
15970,87.0,PlayStation
16028,87.0,PlayStation
15967,87.0,PlayStation
15945,87.0,PlayStation
15965,87.0,PlayStation
15917,87.0,PlayStation
15918,87.0,PlayStation
15920,87.0,PlayStation
15923,87.0,PlayStation
15927,87.0,PlayStation
15928,87.0,PlayStation
15933,87.0,PlayStation
15938,87.0,PlayStation
15941,87.0,PlayStation
15942,87.0,PlayStation
15944,87.0,PlayStation
15932,87.0,PlayStation
15957,87.0,PlayStation
15947,87.0,PlayStation
15948,87.0,PlayStation
15951,87.0,PlayStation
15952,87.0,PlayStation
15954,87.0,PlayStation
15956,87.0,PlayStation
15959,87.0,PlayStation
15960,87.0,PlayStation
15962,87.0,PlayStation
15946,87.0,PlayStation
15964,87.0,PlayStation
15511,86.0,PlayStation
15507,86.0,PlayStation
15510,86.0,PlayStation
15480,86.0,PlayStation
15498,86.0,PlayStation
15518,86.0,PlayStation
15503,86.0,PlayStation
15481,86.0,PlayStation
15496,86.0,PlayStation
15492,86.0,PlayStation
15491,86.0,PlayStation
15488,86.0,PlayStation
15486,86.0,PlayStation
15526,86.0,PlayStation
15525,86.0,PlayStation
15571,86.0,PlayStation
15539,86.0,PlayStation
15541,86.0,PlayStation
15543,86.0,PlayStation
15544,86.0,PlayStation
15545,86.0,PlayStation
15552,86.0,PlayStation
15553,86.0,PlayStation
15555,86.0,PlayStation
15557,86.0,PlayStation
15558,86.0,PlayStation
15564,86.0,PlayStation
15570,86.0,PlayStation
15573,86.0,PlayStation
15475,86.0,PlayStation
15477,86.0,PlayStation
15388,86.0,PlayStation
15470,86.0,PlayStation
15469,86.0,PlayStation
15384,86.0,PlayStation
15387,86.0,PlayStation
15580,86.0,PlayStation
15393,86.0,PlayStation
15394,86.0,PlayStation
15397,86.0,PlayStation
15400,86.0,PlayStation
15401,86.0,PlayStation
15402,86.0,PlayStation
15404,86.0,PlayStation
15405,86.0,PlayStation
15415,86.0,PlayStation
15416,86.0,PlayStation
15424,86.0,PlayStation
15425,86.0,PlayStation
15429,86.0,PlayStation
15430,86.0,PlayStation
15431,86.0,PlayStation
15435,86.0,PlayStation
15438,86.0,PlayStation
15439,86.0,PlayStation
15447,86.0,PlayStation
15448,86.0,PlayStation
15450,86.0,PlayStation
15451,86.0,PlayStation
15454,86.0,PlayStation
15455,86.0,PlayStation
15465,86.0,PlayStation
15468,86.0,PlayStation
15576,86.0,PlayStation
15572,86.0,PlayStation
15581,86.0,PlayStation
15708,86.0,PlayStation
15671,86.0,PlayStation
15677,86.0,PlayStation
15680,86.0,PlayStation
15682,86.0,PlayStation
15686,86.0,PlayStation
15690,86.0,PlayStation
15694,86.0,PlayStation
15695,86.0,PlayStation
15698,86.0,PlayStation
15699,86.0,PlayStation
15700,86.0,PlayStation
15702,86.0,PlayStation
15703,86.0,PlayStation
15706,86.0,PlayStation
15711,86.0,PlayStation
15667,86.0,PlayStation
15713,86.0,PlayStation
15722,86.0,PlayStation
15728,86.0,PlayStation
15729,86.0,PlayStation
15733,86.0,PlayStation
15735,86.0,PlayStation
15736,86.0,PlayStation
15738,86.0,PlayStation
15739,86.0,PlayStation
15740,86.0,PlayStation
15742,86.0,PlayStation
15746,86.0,PlayStation
15748,86.0,PlayStation
15584,86.0,PlayStation
15670,86.0,PlayStation
15749,86.0,PlayStation
15666,86.0,PlayStation
15621,86.0,PlayStation
15662,86.0,PlayStation
15592,86.0,PlayStation
15593,86.0,PlayStation
15598,86.0,PlayStation
15599,86.0,PlayStation
15604,86.0,PlayStation
15609,86.0,PlayStation
15611,86.0,PlayStation
15613,86.0,PlayStation
15615,86.0,PlayStation
15616,86.0,PlayStation
15617,86.0,PlayStation
15618,86.0,PlayStation
15586,86.0,PlayStation
15623,86.0,PlayStation
15642,86.0,PlayStation
15628,86.0,PlayStation
15658,86.0,PlayStation
15655,86.0,PlayStation
15648,86.0,PlayStation
15645,86.0,PlayStation
15643,86.0,PlayStation
15640,86.0,PlayStation
15636,86.0,PlayStation
15635,86.0,PlayStation
15632,86.0,PlayStation
15631,86.0,PlayStation
15630,86.0,PlayStation
15087,85.0,PlayStation
15103,85.0,PlayStation
15099,85.0,PlayStation
15095,85.0,PlayStation
15091,85.0,PlayStation
15072,85.0,PlayStation
15085,85.0,PlayStation
15083,85.0,PlayStation
15080,85.0,PlayStation
15079,85.0,PlayStation
15074,85.0,PlayStation
15105,85.0,PlayStation
15071,85.0,PlayStation
15104,85.0,PlayStation
15132,85.0,PlayStation
15106,85.0,PlayStation
15107,85.0,PlayStation
15110,85.0,PlayStation
15118,85.0,PlayStation
15121,85.0,PlayStation
15124,85.0,PlayStation
15133,85.0,PlayStation
15143,85.0,PlayStation
15146,85.0,PlayStation
15147,85.0,PlayStation
15159,85.0,PlayStation
15165,85.0,PlayStation
15171,85.0,PlayStation
15066,85.0,PlayStation
15172,85.0,PlayStation
15067,85.0,PlayStation
15023,85.0,PlayStation
15062,85.0,PlayStation
15061,85.0,PlayStation
15179,85.0,PlayStation
14982,85.0,PlayStation
14983,85.0,PlayStation
14987,85.0,PlayStation
14988,85.0,PlayStation
14981,85.0,PlayStation
14990,85.0,PlayStation
14995,85.0,PlayStation
14996,85.0,PlayStation
14999,85.0,PlayStation
15000,85.0,PlayStation
15002,85.0,PlayStation
15006,85.0,PlayStation
15011,85.0,PlayStation
15013,85.0,PlayStation
15020,85.0,PlayStation
15022,85.0,PlayStation
15028,85.0,PlayStation
15029,85.0,PlayStation
15030,85.0,PlayStation
15035,85.0,PlayStation
15036,85.0,PlayStation
15037,85.0,PlayStation
15040,85.0,PlayStation
15046,85.0,PlayStation
15047,85.0,PlayStation
15052,85.0,PlayStation
15059,85.0,PlayStation
15060,85.0,PlayStation
15178,85.0,PlayStation
15366,85.0,PlayStation
15180,85.0,PlayStation
15329,85.0,PlayStation
15297,85.0,PlayStation
15300,85.0,PlayStation
15301,85.0,PlayStation
15303,85.0,PlayStation
15306,85.0,PlayStation
15307,85.0,PlayStation
15309,85.0,PlayStation
15312,85.0,PlayStation
15317,85.0,PlayStation
15320,85.0,PlayStation
15323,85.0,PlayStation
15324,85.0,PlayStation
15328,85.0,PlayStation
15336,85.0,PlayStation
15290,85.0,PlayStation
15339,85.0,PlayStation
15344,85.0,PlayStation
15347,85.0,PlayStation
15353,85.0,PlayStation
15357,85.0,PlayStation
15360,85.0,PlayStation
15361,85.0,PlayStation
15364,85.0,PlayStation
15369,85.0,PlayStation
15372,85.0,PlayStation
15374,85.0,PlayStation
15381,85.0,PlayStation
15188,85.0,PlayStation
15296,85.0,PlayStation
15335,85.0,PlayStation
15288,85.0,PlayStation
15227,85.0,PlayStation
15189,85.0,PlayStation
15282,85.0,PlayStation
15197,85.0,PlayStation
15199,85.0,PlayStation
15201,85.0,PlayStation
15202,85.0,PlayStation
15203,85.0,PlayStation
15205,85.0,PlayStation
15211,85.0,PlayStation
15215,85.0,PlayStation
15222,85.0,PlayStation
15224,85.0,PlayStation
15225,85.0,PlayStation
15208,85.0,PlayStation
15268,85.0,PlayStation
15280,85.0,PlayStation
15233,85.0,PlayStation
15272,85.0,PlayStation
15269,85.0,PlayStation
15262,85.0,PlayStation
15260,85.0,PlayStation
15252,85.0,PlayStation
15247,85.0,PlayStation
15246,85.0,PlayStation
15244,85.0,PlayStation
15239,85.0,PlayStation
15234,85.0,PlayStation
15276,85.0,PlayStation
14695,84.0,PlayStation
14696,84.0,PlayStation
14701,84.0,PlayStation
14672,84.0,PlayStation
14707,84.0,PlayStation
14689,84.0,PlayStation
14708,84.0,PlayStation
14691,84.0,PlayStation
14679,84.0,PlayStation
14685,84.0,PlayStation
14684,84.0,PlayStation
14682,84.0,PlayStation
14681,84.0,PlayStation
14678,84.0,PlayStation
14712,84.0,PlayStation
14709,84.0,PlayStation
14748,84.0,PlayStation
14716,84.0,PlayStation
14740,84.0,PlayStation
14668,84.0,PlayStation
14750,84.0,PlayStation
14749,84.0,PlayStation
14745,84.0,PlayStation
14744,84.0,PlayStation
14743,84.0,PlayStation
14737,84.0,PlayStation
14717,84.0,PlayStation
14735,84.0,PlayStation
14732,84.0,PlayStation
14729,84.0,PlayStation
14727,84.0,PlayStation
14725,84.0,PlayStation
14724,84.0,PlayStation
14669,84.0,PlayStation
14602,84.0,PlayStation
14667,84.0,PlayStation
14610,84.0,PlayStation
14622,84.0,PlayStation
14621,84.0,PlayStation
14619,84.0,PlayStation
14618,84.0,PlayStation
14617,84.0,PlayStation
14611,84.0,PlayStation
14608,84.0,PlayStation
14662,84.0,PlayStation
14607,84.0,PlayStation
14605,84.0,PlayStation
14604,84.0,PlayStation
14601,84.0,PlayStation
14600,84.0,PlayStation
14757,84.0,PlayStation
14623,84.0,PlayStation
14626,84.0,PlayStation
14627,84.0,PlayStation
14628,84.0,PlayStation
14629,84.0,PlayStation
14631,84.0,PlayStation
14635,84.0,PlayStation
14637,84.0,PlayStation
14639,84.0,PlayStation
14640,84.0,PlayStation
14646,84.0,PlayStation
14650,84.0,PlayStation
14654,84.0,PlayStation
14655,84.0,PlayStation
14656,84.0,PlayStation
14657,84.0,PlayStation
