id,Nombre,Plataforma,Marca,Puntuacion_usuario
2801,PAIN: Amusement Park,PlayStation3,PlayStation,58.0
2802,World of Tanks,XboxOne,Xbox,58.0
2803,88 Heroes,PlayStation4,PlayStation,58.0
2804,Dead Star,PlayStation4,PlayStation,58.0
2805,Steel Horizon,DS,Nintendo,58.0
2806,Beat City,DS,Nintendo,58.0
2807,Enemy Front,PlayStation3,PlayStation,58.0
2808,Achtung! Cthulhu Tactics,PC,PC_Gamer,58.0
2809,Tom Clancy's Splinter Cell: Double Agent,PC,PC_Gamer,58.0
2810,Not Tonight: Take Back Control Edition,Switch,Nintendo,58.0
2811,Dragon Quest II: Luminaries of the Legendary Line,Switch,Nintendo,58.0
2812,Guilty Gear Dust Strikers,DS,Nintendo,58.0
2813,Sublevel Zero Redux,PlayStation4,PlayStation,58.0
2814,LawBreakers,PlayStation4,PlayStation,58.0
2815,Create,Xbox360,Xbox,58.0
