id,Nombre,Plataforma,Marca,Puntuacion_usuario
3384,Earthworm Jim 2,GameBoyAdvance,Nintendo,60.0
3385,Kentucky Route Zero: TV Edition,XboxOne,Xbox,60.0
3386,Cars Race-O-Rama,Wii,Nintendo,60.0
3387,Foul Play,Xbox360,Xbox,60.0
3388,Master Reboot,PC,PC_Gamer,60.0
3389,Tom Clancy's The Division,PC,PC_Gamer,60.0
3390,Vietcong 2,PC,PC_Gamer,60.0
3391,Zenzizenzic,PC,PC_Gamer,61.0
3392,Future Tactics: The Uprising,PlayStation2,PlayStation,61.0
3393,Penny-Punching Princess,Switch,Nintendo,61.0
3394,Fairytale Fights,PlayStation3,PlayStation,61.0
3395,Shadow Ops: Red Mercury,Xbox,Xbox,61.0
3396,Assassin's Creed Odyssey,XboxOne,Xbox,61.0
3397,WE ARE DOOMED,PlayStation4,PlayStation,61.0
3398,The Caligula Effect: Overdose,Switch,Nintendo,61.0
3399,Nowhere Prophet,PC,PC_Gamer,61.0
3400,Magic Duels: Origins,PC,PC_Gamer,61.0
3401,SuperHyperCube,PlayStation4,PlayStation,61.0
3402,Hearthstone: Heroes of Warcraft - Goblins Vs. Gnomes,PC,PC_Gamer,61.0
3403,Avatar: The Last Airbender,PSP,PlayStation,61.0
3404,007: NightFire,PC,PC_Gamer,61.0
3405,Cartoon Network: Punch Time Explosion,3DS,Nintendo,61.0
3406,Ride 2,PlayStation4,PlayStation,61.0
3407,"That Dragon, Cancer",PC,PC_Gamer,61.0
3408,Flame Over,PlayStationVita,PlayStation,61.0
3409,Generation Zero,XboxOne,Xbox,61.0
3410,The Walking Dead: The Telltale Series - A New Frontier Episode 5: From The Gallows,XboxOne,Xbox,61.0
3411,Sonic the Hedgehog 4: Episode I,PlayStation3,PlayStation,61.0
3412,The Fidelio Incident,PC,PC_Gamer,61.0
3413,The Grim Adventures of Billy & Mandy,Wii,Nintendo,61.0
3414,TNA iMPACT!,Xbox360,Xbox,61.0
3415,Super Cane Magic ZERO,Switch,Nintendo,61.0
3416,Prison Break: The Conspiracy,PC,PC_Gamer,61.0
3417,NBA Live 16,PlayStation4,PlayStation,61.0
3418,Life is Strange 2: Episode 3 - Wastelands,PC,PC_Gamer,61.0
3419,Risen 2: Dark Waters,Xbox360,Xbox,61.0
3420,Marvel Super Hero Squad,Wii,Nintendo,61.0
3421,Sid Meier's Civilization: Beyond Earth - Rising Tide,PC,PC_Gamer,61.0
3422,SBK Superbike World Championship,PlayStation3,PlayStation,61.0
3423,League of Evil,Switch,Nintendo,61.0
3424,Resident Evil: Survivor,PlayStation,PlayStation,61.0
3425,Mushroom Men: Rise of the Fungi,DS,Nintendo,61.0
3426,Nexuiz,Xbox360,Xbox,61.0
3427,Kingdom Hearts III - Re Mind,PlayStation4,PlayStation,61.0
3428,Fallout 76: Wastelanders,PC,PC_Gamer,61.0
3429,Saw II: Flesh & Blood,PlayStation3,PlayStation,61.0
3430,NBA Live 06,Xbox360,Xbox,61.0
3431,Stealth Inc 2: A Game of Clones,PC,PC_Gamer,61.0
3432,Sumioni: Demon Arts,PlayStationVita,PlayStation,61.0
3433,The Novelist,PC,PC_Gamer,61.0
3434,The Last Tinker: City of Colors,PlayStation4,PlayStation,61.0
3435,Rememoried,PC,PC_Gamer,61.0
3436,Nom Nom Galaxy,PC,PC_Gamer,61.0
3437,Hail to the Chimp,Xbox360,Xbox,61.0
3438,Power Rangers: Battle for the Grid,Switch,Nintendo,61.0
3439,Gary Grigsby's World at War,PC,PC_Gamer,61.0
3440,007: Quantum of Solace,PC,PC_Gamer,61.0
3441,Hitman 2: Silent Assassin,GameCube,Nintendo,61.0
3442,FIFA 06: Road to FIFA World Cup,Xbox360,Xbox,61.0
3443,Overwatch,Switch,Nintendo,61.0
3444,Dead Space 3,PC,PC_Gamer,61.0
3445,Poi: Explorer Edition,Switch,Nintendo,61.0
3446,Magic: Duels of the Planeswalkers 2014,PC,PC_Gamer,61.0
3447,Anomaly: Warzone Earth,Xbox360,Xbox,61.0
3448,Tower of Guns,PlayStation4,PlayStation,61.0
3449,Sparkle Unleashed,Switch,Nintendo,61.0
3450,Soul Axiom,PC,PC_Gamer,61.0
3451,LA Cops,PC,PC_Gamer,61.0
